skill_1,skill_2,cooccurrence_count,cooccurrence_pct
analytical,communication,100,63.7
analytical,compliance,99,63.1
communication,compliance,95,56.5
collaboration,communication,88,71.0
communication,organization,87,68.0
collaboration,compliance,75,60.5
analytical,collaboration,71,57.3
communication,leadership,71,71.7
Python,communication,68,66.7
analytical,organization,68,53.1
Python,SQL,65,63.7
compliance,leadership,64,64.6
SQL,analytical,63,59.4
compliance,organization,61,47.7
SQL,communication,57,53.8
Python,analytical,55,53.9
collaboration,organization,52,41.9
collaboration,leadership,51,51.5
audit,compliance,51,94.4
analytical,leadership,51,51.5
communication,interpersonal,50,74.6
communication,incident response,45,72.6
analytical,attention to detail,45,73.8
leadership,organization,44,44.4
communication,proactive,44,75.9
SQL,compliance,42,39.6
SIEM,incident response,42,95.5
Python,R,42,82.4
SQL,organization,41,38.7
R,SQL,41,80.4
Python,compliance,40,39.2
analytical,interpersonal,40,59.7
attention to detail,communication,39,63.9
Python,machine learning,39,59.1
compliance,incident response,38,61.3
Python,organization,38,37.3
R,analytical,37,72.5
attention to detail,compliance,36,59.0
Python,Tableau,36,85.7
SQL,Tableau,35,83.3
Power BI,Python,35,76.1
Power BI,Tableau,35,83.3
communication,network security,35,89.7
CEH,communication,35,72.9
CEH,compliance,35,72.9
Power BI,SQL,35,76.1
Python,collaboration,35,34.3
analytical,audit,35,64.8
Power BI,analytical,34,73.9
AWS,communication,34,68.0
compliance,interpersonal,34,50.7
SQL,collaboration,33,31.1
SQL,machine learning,33,50.0
Tableau,analytical,33,78.6
analytical,machine learning,33,50.0
analytical,presentation,33,82.5
agile,compliance,33,66.0
SIEM,communication,33,75.0
communication,presentation,32,80.0
communication,machine learning,32,48.5
CEH,incident response,32,66.7
compliance,proactive,31,53.4
ETL,Python,31,81.6
CISSP,compliance,30,75.0
CISSP,communication,30,75.0
SQL,interpersonal,30,44.8
attention to detail,collaboration,30,49.2
Python,interpersonal,30,44.8
CISSP,incident response,30,75.0
incident response,organization,29,46.8
SQL,leadership,29,29.3
AWS,Azure,29,76.3
SOC,incident response,29,85.3
agile,analytical,29,58.0
compliance,project management,29,80.6
ETL,SQL,29,76.3
audit,communication,29,53.7
interpersonal,machine learning,28,42.4
analytical,incident response,28,45.2
