id,job_id,skill_name,domain,category
1,1,R,data_science,languages
2,1,SQL,data_science,languages
3,1,MATLAB,data_science,languages
4,1,NumPy,data_science,data_processing
5,1,Hive,data_science,big_data
6,1,Pig,data_science,big_data
7,1,MongoDB,web_dev,databases
8,1,Cassandra,data_science,databases
9,1,HBase,data_science,databases
10,1,Oracle,data_science,databases
11,1,machine learning,data_science,concepts
12,1,regression,data_science,concepts
13,1,statistical analysis,data_science,concepts
14,1,data mining,data_science,concepts
15,1,data warehouse,data_science,concepts
16,1,anomaly detection,data_science,concepts
17,1,compliance,cyber_security,concepts
18,1,teamwork,general,soft_skills
19,1,analytical,general,soft_skills
20,1,interpersonal,general,soft_skills
21,1,agile,general,soft_skills
22,1,project management,general,soft_skills
23,2,Python,web_dev,languages
24,2,R,data_science,languages
25,2,SQL,data_science,languages
26,2,Java,web_dev,languages
27,2,Tableau,data_science,bi_tools
28,2,Power BI,data_science,bi_tools
29,2,QlikView,data_science,bi_tools
30,2,SSRS,data_science,bi_tools
31,2,SSIS,data_science,bi_tools
32,2,Spark,data_science,big_data
33,2,Hadoop,data_science,big_data
34,2,Kafka,data_science,big_data
35,2,HDFS,data_science,big_data
36,2,SQL Server,data_science,databases
37,2,machine learning,data_science,concepts
38,2,regression,data_science,concepts
39,2,data mining,data_science,concepts
40,2,ETL,data_science,concepts
41,2,communication,general,soft_skills
42,2,interpersonal,general,soft_skills
43,2,proactive,general,soft_skills
44,2,project management,general,soft_skills
45,3,Python,web_dev,languages
46,3,R,data_science,languages
47,3,SQL,data_science,languages
48,3,Java,web_dev,languages
49,3,Tableau,data_science,bi_tools
50,3,Power BI,data_science,bi_tools
51,3,QlikView,data_science,bi_tools
52,3,Spark,data_science,big_data
53,3,Hadoop,data_science,big_data
54,3,Kafka,data_science,big_data
55,3,HDFS,data_science,big_data
56,3,machine learning,data_science,concepts
57,3,statistical analysis,data_science,concepts
58,3,predictive modeling,data_science,concepts
59,3,data mining,data_science,concepts
60,3,ETL,data_science,concepts
61,4,Python,web_dev,languages
62,4,R,data_science,languages
63,4,SQL,data_science,languages
64,4,Java,web_dev,languages
65,4,Tableau,data_science,bi_tools
66,4,Power BI,data_science,bi_tools
67,4,QlikView,data_science,bi_tools
68,4,SSRS,data_science,bi_tools
69,4,SSIS,data_science,bi_tools
70,4,Spark,data_science,big_data
71,4,Hadoop,data_science,big_data
72,4,Kafka,data_science,big_data
73,4,HDFS,data_science,big_data
74,4,SQL Server,data_science,databases
75,4,machine learning,data_science,concepts
76,4,regression,data_science,concepts
77,4,data mining,data_science,concepts
78,4,ETL,data_science,concepts
79,4,communication,general,soft_skills
80,4,interpersonal,general,soft_skills
81,4,proactive,general,soft_skills
82,4,project management,general,soft_skills
83,5,Python,web_dev,languages
84,5,R,data_science,languages
85,5,SQL,data_science,languages
86,5,Java,web_dev,languages
87,5,Tableau,data_science,bi_tools
88,5,Power BI,data_science,bi_tools
89,5,QlikView,data_science,bi_tools
90,5,Spark,data_science,big_data
91,5,Hadoop,data_science,big_data
92,5,Kafka,data_science,big_data
93,5,HDFS,data_science,big_data
94,5,machine learning,data_science,concepts
95,5,statistical analysis,data_science,concepts
96,5,predictive modeling,data_science,concepts
97,5,data mining,data_science,concepts
98,5,ETL,data_science,concepts
99,6,Python,web_dev,languages
100,6,R,data_science,languages
101,6,SQL,data_science,languages
102,6,Java,web_dev,languages
103,6,Tableau,data_science,bi_tools
104,6,Power BI,data_science,bi_tools
105,6,QlikView,data_science,bi_tools
106,6,Spark,data_science,big_data
107,6,Hadoop,data_science,big_data
108,6,Kafka,data_science,big_data
109,6,HDFS,data_science,big_data
110,6,machine learning,data_science,concepts
111,6,statistical analysis,data_science,concepts
112,6,predictive modeling,data_science,concepts
113,6,data mining,data_science,concepts
114,6,ETL,data_science,concepts
115,7,R,data_science,languages
116,7,SQL,data_science,languages
117,7,MATLAB,data_science,languages
118,7,NumPy,data_science,data_processing
119,7,Hive,data_science,big_data
120,7,Pig,data_science,big_data
121,7,MongoDB,web_dev,databases
122,7,Cassandra,data_science,databases
123,7,HBase,data_science,databases
124,7,Oracle,data_science,databases
125,7,machine learning,data_science,concepts
126,7,regression,data_science,concepts
127,7,statistical analysis,data_science,concepts
128,7,data mining,data_science,concepts
129,7,data warehouse,data_science,concepts
130,7,anomaly detection,data_science,concepts
131,7,compliance,cyber_security,concepts
132,7,teamwork,general,soft_skills
133,7,analytical,general,soft_skills
134,7,interpersonal,general,soft_skills
135,7,agile,general,soft_skills
136,7,project management,general,soft_skills
137,8,R,data_science,languages
138,8,SQL,data_science,languages
139,8,MATLAB,data_science,languages
140,8,NumPy,data_science,data_processing
141,8,Hive,data_science,big_data
142,8,Pig,data_science,big_data
143,8,MongoDB,web_dev,databases
144,8,Cassandra,data_science,databases
145,8,HBase,data_science,databases
146,8,Oracle,data_science,databases
147,8,machine learning,data_science,concepts
148,8,regression,data_science,concepts
149,8,statistical analysis,data_science,concepts
150,8,data mining,data_science,concepts
151,8,data warehouse,data_science,concepts
152,8,anomaly detection,data_science,concepts
153,8,compliance,cyber_security,concepts
154,8,teamwork,general,soft_skills
155,8,analytical,general,soft_skills
156,8,interpersonal,general,soft_skills
157,8,agile,general,soft_skills
158,8,project management,general,soft_skills
159,9,R,data_science,languages
160,9,SQL,data_science,languages
