id,job_id,requirement_type,requirement_value,is_required
1,1,education,Degree In Mathematics,1
2,2,education,Degree In Statistics,1
3,3,education,Degree In Statistics,1
4,4,education,Degree In Statistics,1
5,5,education,Degree In Statistics,1
6,6,education,Degree In Statistics,1
7,7,education,Degree In Mathematics,1
8,8,education,Degree In Mathematics,1
9,9,education,Degree In Mathematics,1
10,10,education,Degree In Mathematics,1
11,11,education,Degree In Mathematics,1
12,12,education,Degree In Mathematics,1
13,14,education,Degree In Mathematics,1
14,19,education,Degree In Computer Science,1
15,19,education,Phd,1
16,20,education,Degree In Computer Science,1
17,20,education,Phd,1
18,21,education,Degree In Computer Science,1
19,21,education,Phd,1
20,24,education,Degree In Mathematicsstatistics,1
21,25,education,Degree In Statistics,1
22,26,education,Degree In Statistics,1
23,27,education,Degree In Computer Science Or Technical,1
24,28,education,Degree In Statistics,1
25,30,education,Degree In Statistics,1
26,31,education,Degree In Information Technology,1
27,32,education,Degree In Computer Science,1
28,33,education,Degree In Computer Science,1
29,34,education,Degree In Computer Science,1
30,35,education,Degree Of Self,1
31,36,education,Degree In Information Management,1
32,41,education,Degree In Statistics,1
33,42,education,Degree In Data Science,1
34,44,education,Degree In Data Science,1
35,45,education,Degree In Data Science,1
36,46,education,Degree In Data Science,1
37,47,education,Degree In Data Science,1
38,48,education,Degree In Data Science,1
39,50,education,Degree In Data Science,1
40,52,education,Degree In Information Technology It,1
41,53,education,Degree In Information Technology It,1
42,55,education,Degree In Information Technology It,1
43,56,education,Degree In Statistics,1
44,59,education,Degree In Computer Science,1
45,61,education,Degree In Computer Science,1
46,62,education,Degree In Computer Science,1
47,63,education,Degree In Data Science,1
48,64,education,Diploma In Mechanical Engineering 3,1
49,65,education,Diploma In Mechanical Engineering 3,1
50,66,education,Diploma In Mechanical Engineering 3,1
51,67,education,Certificate In Dairy Technology,1
52,67,education,Certificate In Electrical Engineering Or Mechanical Engineering,1
53,68,education,Degree In Mathematics,1
54,68,education,Degree In Health Informatics,1
55,69,education,Diploma In Mechanical Or Electrical Engineering,1
56,71,education,Degree In A Relevant Field Is An Added Advantage,1
57,72,education,Phd,1
58,73,education,Degree In A Relevant Field,1
59,73,education,Phd,1
60,73,education,Doctorate,1
61,74,education,Degree In A Relevant Field,1
62,74,education,Phd,1
63,74,education,Doctorate,1
64,79,education,Degree In Data Analytics,1
65,79,education,Degree In Statistics,1
66,81,education,Diploma In Public Health,1
67,82,education,Diploma In Public Health,1
68,85,education,Bachelor Of Science Degree In Computer Science,1
69,85,education,Degree In Related Fields,1
70,85,education,Degree In Computer Science,1
71,86,education,Degree In Statistics,1
72,87,education,Degree In Statistics,1
73,88,education,Degree In Computer Science,1
74,94,education,Degree In Computer Science,1
75,95,education,Degree In Computer Science,1
76,106,education,Degree In Statistics,1
77,109,education,Degree In Computer Science,1
78,111,education,Degree In A Relevant Area Or Equivalent Experience,1
79,116,education,Degree Of Self,1
80,116,education,Degree Of Innovation,1
81,117,education,Degree Of Self,1
82,117,education,Degree Of Innovation,1
83,118,education,Degree Of Self,1
84,126,education,Degree In Computer Science,1
85,127,education,Diploma In Electronics,1
86,128,education,Diploma In Electronics,1
87,129,education,Degree In Computer Science,1
88,130,education,Degree In Engineering Mechanical,1
89,131,education,Degree In Computer Science,1
90,132,education,Degree In Computer Science,1
91,133,education,Degree In Mechanical Engineering,1
92,137,education,Degree In Business,1
93,138,education,Degree In Business Analytics,1
94,139,education,Degree In Information Technology Or A Related Field,1
95,140,education,Degree In Computer Science,1
96,141,education,Degree In Computer Science,1
97,143,education,Degree In Computer Science,1
98,144,education,Degree In Commerce,1
99,145,education,Degree In Strategy Degree In Economics Organization,1
100,146,education,Degree In Strategy Degree In Economics Organization,1
101,147,education,Degree In Data Science,1
102,148,education,Degree In Data Science,1
103,149,education,Degree In Business,1
104,150,education,Masters In Data Analytics,1
105,150,education,Degree In Statistics,1
106,151,education,Degree Of Organization,1
107,151,education,Degree In Social Sciences  Law,1
108,152,education,Degree Of Organization,1
109,152,education,Degree In Social Sciences  Law,1
110,153,education,Degree Of Organization,1
111,153,education,Degree In Social Sciences  Law,1
112,154,education,Degree In Business Information Technology,1
113,156,education,Masters In Environmental Science,1
114,157,education,Degree In Health,1
115,157,education,Degree In Economics,1
116,157,education,Degree In Health Economics,1
117,158,education,Bachelor Of Arts In International Development Or Related Field,1
118,160,education,Degree In Finance,1
119,161,education,Degree In Finance,1
120,167,education,Degree In Business,1
121,168,education,Degree In Finance  Related Fields Accounting Qualifications Experience Required,1
122,169,education,Degree In Finance  Related Fields Accounting Qualifications Experience Required,1
123,173,education,Degree In Business,1
124,174,education,Degree In Computer Science,1
125,175,education,Degree In Computer Science,1
