id,source,search_query,jobs_found,jobs_saved,errors,started_at,completed_at,status,error_message
1,brightermonday,data scientist,0,0,0,2026-01-30 11:01:24.193829,2026-01-30 11:01:32.021236,completed,
2,brightermonday,data analyst,0,0,0,2026-01-30 11:01:41.478416,2026-01-30 11:01:49.053556,completed,
3,brightermonday,machine learning,0,0,0,2026-01-30 11:01:58.085476,2026-01-30 11:02:04.796225,completed,
4,brightermonday,data engineer,0,0,0,2026-01-30 11:02:14.061152,2026-01-30 11:02:19.531435,completed,
5,brightermonday,AI engineer,0,0,0,2026-01-30 11:02:28.523077,2026-01-30 11:02:35.107335,completed,
6,brightermonday,business intelligence,0,0,0,2026-01-30 11:02:44.574692,2026-01-30 11:02:51.436526,completed,
7,brightermonday,analytics,0,0,0,2026-01-30 11:03:00.776239,2026-01-30 11:03:07.551500,completed,
8,myjobmag,data scientist,0,0,0,2026-01-30 11:03:16.741525,2026-01-30 11:03:20.276104,completed,
9,myjobmag,data analyst,0,0,0,2026-01-30 11:03:29.431149,2026-01-30 11:03:32.343232,completed,
10,myjobmag,machine learning,0,0,0,2026-01-30 11:03:41.412400,2026-01-30 11:03:45.603157,completed,
11,myjobmag,data engineer,0,0,0,2026-01-30 11:03:55.092614,2026-01-30 11:03:58.944618,completed,
12,myjobmag,AI engineer,0,0,0,2026-01-30 11:04:08.013839,2026-01-30 11:04:12.136823,completed,
13,myjobmag,business intelligence,0,0,0,2026-01-30 11:04:21.388222,2026-01-30 11:04:24.253253,completed,
14,myjobmag,analytics,0,0,0,2026-01-30 11:04:33.128205,2026-01-30 11:04:37.771157,completed,
15,oyk,data scientist,28,28,0,2026-01-30 11:04:47.167948,2026-01-30 11:09:26.202470,completed,
16,oyk,data analyst,28,28,0,2026-01-30 11:09:36.954367,2026-01-30 11:13:36.986371,completed,
17,oyk,machine learning,28,28,0,2026-01-30 11:13:49.061925,2026-01-30 11:18:24.914857,completed,
18,oyk,data engineer,28,24,0,2026-01-30 11:18:36.911025,2026-01-30 11:22:48.596931,completed,
19,oyk,AI engineer,28,25,0,2026-01-30 11:23:00.221960,2026-01-30 11:29:31.040103,completed,
20,oyk,business intelligence,28,28,0,2026-01-30 11:29:43.095302,2026-01-30 11:34:58.759412,completed,
21,oyk,analytics,28,27,0,2026-01-30 11:35:10.459574,2026-01-30 11:39:49.284133,completed,
22,brightermonday,cybersecurity,0,0,0,2026-01-30 11:40:04.344322,2026-01-30 11:40:09.119559,completed,
23,brightermonday,security analyst,0,0,0,2026-01-30 11:40:20.036201,2026-01-30 11:40:25.382129,completed,
24,brightermonday,penetration tester,0,0,0,2026-01-30 11:40:36.266215,2026-01-30 11:40:40.349989,completed,
25,brightermonday,SOC analyst,0,0,0,2026-01-30 11:40:51.204452,2026-01-30 11:40:59.345020,completed,
26,brightermonday,information security,0,0,0,2026-01-30 11:41:08.741050,2026-01-30 11:41:16.517545,completed,
27,brightermonday,network security,0,0,0,2026-01-30 11:41:27.165145,2026-01-30 11:41:33.218030,completed,
28,brightermonday,security engineer,0,0,0,2026-01-30 11:41:41.829982,2026-01-30 11:41:48.825333,completed,
29,myjobmag,cybersecurity,0,0,0,2026-01-30 11:41:59.117858,2026-01-30 11:42:03.143662,completed,
30,myjobmag,security analyst,0,0,0,2026-01-30 11:42:14.445284,2026-01-30 11:42:20.483761,completed,
31,myjobmag,penetration tester,0,0,0,2026-01-30 11:42:30.671079,2026-01-30 11:42:35.822312,completed,
32,myjobmag,SOC analyst,0,0,0,2026-01-30 11:42:46.706588,2026-01-30 11:42:50.868697,completed,
33,myjobmag,information security,0,0,0,2026-01-30 11:43:00.777394,2026-01-30 11:43:05.551810,completed,
34,myjobmag,network security,0,0,0,2026-01-30 11:43:15.457814,2026-01-30 11:43:19.867257,completed,
35,myjobmag,security engineer,0,0,0,2026-01-30 11:43:32.068236,2026-01-30 11:43:37.275705,completed,
36,oyk,cybersecurity,28,27,0,2026-01-30 11:43:48.775381,2026-01-30 11:48:03.920245,completed,
37,oyk,security analyst,28,20,0,2026-01-30 11:48:16.600480,2026-01-30 11:52:38.612104,completed,
38,oyk,penetration tester,28,21,0,2026-01-30 11:52:50.451947,2026-01-30 11:56:52.916462,completed,
39,oyk,SOC analyst,28,22,0,2026-01-30 11:57:06.124132,2026-01-30 12:01:45.399869,completed,
40,oyk,information security,28,27,0,2026-01-30 12:01:56.363944,2026-01-30 12:06:46.220200,completed,
41,oyk,network security,28,19,0,2026-01-30 12:06:57.722448,2026-01-30 12:11:15.791884,completed,
42,oyk,security engineer,28,21,0,2026-01-30 12:11:26.700294,2026-01-30 12:16:03.150267,completed,
43,brightermonday,software developer,0,0,0,2026-01-30 12:16:14.301401,2026-01-30 12:16:22.253448,completed,
44,brightermonday,web developer,0,0,0,2026-01-30 12:16:31.610214,2026-01-30 12:16:39.270969,completed,
45,brightermonday,backend developer,0,0,0,2026-01-30 12:16:49.722810,2026-01-30 12:16:55.857624,completed,
46,brightermonday,frontend developer,0,0,0,2026-01-30 12:17:06.207003,2026-01-30 12:17:09.775637,completed,
47,brightermonday,full stack developer,0,0,0,2026-01-30 12:17:19.485322,2026-01-30 12:17:27.858053,completed,
48,brightermonday,software engineer,0,0,0,2026-01-30 12:17:49.604684,2026-01-30 12:17:54.440011,completed,
49,brightermonday,mobile developer,0,0,0,2026-01-30 12:18:05.849151,2026-01-30 12:18:14.151798,completed,
50,brightermonday,python developer,0,0,0,2026-01-30 12:18:26.094748,2026-01-30 12:18:32.458532,completed,
51,brightermonday,java developer,0,0,0,2026-01-30 12:18:50.536000,2026-01-30 12:19:04.089646,completed,
52,myjobmag,software developer,0,0,0,2026-01-30 12:19:28.941937,2026-01-30 12:19:33.195315,completed,
53,myjobmag,backend developer,0,0,0,2026-01-30 12:20:37.203435,2026-01-30 12:20:40.847284,completed,
54,myjobmag,frontend developer,0,0,0,2026-01-30 12:20:51.110246,2026-01-30 12:20:54.391811,completed,
55,myjobmag,full stack developer,0,0,0,2026-01-30 12:21:04.359590,2026-01-30 12:21:07.555724,completed,
56,myjobmag,software engineer,0,0,0,2026-01-30 12:21:17.468471,2026-01-30 12:21:20.271017,completed,
57,myjobmag,mobile developer,0,0,0,2026-01-30 12:21:30.705521,2026-01-30 12:21:33.312697,completed,
58,myjobmag,python developer,0,0,0,2026-01-30 12:21:43.562577,2026-01-30 12:21:47.017520,completed,
59,myjobmag,java developer,0,0,0,2026-01-30 12:21:57.473941,2026-01-30 12:22:01.962330,completed,
60,oyk,software developer,22,22,0,2026-01-30 12:22:12.422696,2026-01-30 12:26:35.832656,completed,
61,oyk,web developer,0,0,0,2026-01-30 12:27:00.749322,,running,
